,BERT Cluster,jobSkill_x,jobSkill_y,title
0,0,"Consulting, Accounting/Auditing, Information Technology,Project Management, Analyst, Information Technology,Engineering, Information Technology, Consulting,Engineering, Information Technology,Information Technology,Information Technology, Engineering,Finance, Information Technology,Research, Analyst, Information Technology,Human Resources,Finance, Sales,Consulting, Information Technology, Other,Product Management, Marketing,Project Management, Supply Chain, Strategy/Planning,Finance, Legal,Product Management, Design,Management, Manufacturing,Management, Consulting, Finance,Legal, Public Relations, Human Resources,Design, Information Technology,Information Technology, Engineering, Other,Project Management, Information Technology, Management,Analyst, Finance,Accounting/Auditing, Finance, Analyst,Project Management, Information Technology,Project Management, Management, Product Management,Design, Art/Creative, Information Technology,Other,Writing/Editing, Design, Project Management,Customer Service, Information Technology,Human Resources, Finance, Advertising,Consulting, Information Technology, Engineering,Consulting, Information Technology, Sales,Marketing, Sales,Business Development, Sales,Finance, Accounting/Auditing,Administrative,Accounting/Auditing,Accounting/Auditing, Finance,Sales, Business Development,Finance,Finance, Analyst,Legal,Manufacturing, Accounting/Auditing, Finance,Analyst,Consulting, Information Technology,Strategy/Planning, Consulting,Sales,Information Technology, Product Management, Engineering,Project Management, Information Technology, Engineering,Project Management, General Business, Product Management,Marketing, Advertising,Science, Marketing, Analyst,Marketing, Analyst, Project Management,Marketing, Public Relations, Writing/Editing,Information Technology, Project Management, Marketing,Management, Strategy/Planning, Product Management,Marketing,Information Technology, Marketing,Product Management, Marketing, Engineering,Marketing, Public Relations,Marketing, Sales, Product Management,Product Management, Marketing, Information Technology,Consulting","Enterprise resource planning ERP software,Data base management system software,Enterprise system management software,Risk management data and analysis software",158
1,1,"Information Technology, Product Management, Engineering",,3
2,2,"Engineering, Information Technology,Information Technology,Analyst, Information Technology, Engineering,Quality Assurance, Engineering, Information Technology,Information Technology, Product Management, Engineering,Information Technology, Consulting, Engineering,Engineering,Other,Information Technology, Engineering,Other, Information Technology, Management,Human Resources,Finance, Sales,Management, Manufacturing,Marketing, Sales,Engineering, Information Technology, Research,Engineering, Manufacturing, Design",,184
3,3,"Information Technology,Engineering, Information Technology,Engineering,Analyst, Information Technology, Engineering,Engineering, Information Technology, Other,Information Technology, Finance, Consulting,Information Technology, Product Management, Engineering,Engineering, Information Technology, Project Management,Engineering, Information Technology, Finance,Information Technology, Engineering,Information Technology, Business Development,Finance, Sales,Legal,Finance,Information Technology, Finance, Marketing,Accounting/Auditing, Finance,Supply Chain,Business Development, Sales,Customer Service, Information Technology, Engineering,Product Management, Marketing,Business Development, Marketing,Accounting/Auditing, Legal, Finance,Finance, Sales, Analyst,Consulting,Legal, Other, Management,Project Management, Product Management, Engineering,Design, Art/Creative, Information Technology,Management, Manufacturing,Sales,Administrative,Project Management, Information Technology,Other,Research, Analyst, Information Technology,Quality Assurance, Information Technology,Marketing,Information Technology, Marketing,Advertising, Marketing, Strategy/Planning,Information Technology, Marketing, Public Relations,Marketing, Information Technology, Analyst,Marketing, Strategy/Planning,Marketing, Sales, Public Relations,Design, Art/Creative,Design, Project Management, Business Development",,120
4,4,"Engineering, Information Technology,Information Technology, Engineering, Other,Information Technology, Consulting,Advertising, Analyst,Sales,Research,Information Technology,Finance,Design, Art/Creative,Information Technology, Product Management, Engineering,Strategy/Planning, Marketing, Business Development,Marketing, Sales,Human Resources,Finance, Sales,Business Development, Sales,Sales, Business Development,Finance, Human Resources,Purchasing, Supply Chain,Business Development, Product Management, Marketing,Management, Customer Service, Project Management,Marketing, Business Development, Sales,Finance, Writing/Editing,Finance, Consulting, Accounting/Auditing,Consulting, Accounting/Auditing,Management, Manufacturing,Consulting, Information Technology, Sales,Product Management, Marketing,Sales, Engineering, Business Development,Finance, Advertising, Marketing,Finance, Accounting/Auditing,Legal,Accounting/Auditing, Finance,Consulting, Information Technology, Finance,Other,Project Management, Information Technology,Information Technology, Accounting/Auditing,Business Development, Finance, Engineering,Consulting,Information Technology, Finance,Strategy/Planning, Analyst, Project Management,Consulting, Information Technology,Marketing,Consulting, Information Technology, Project Management,Accounting/Auditing, Analyst, Finance,Information Technology, Consulting, Accounting/Auditing,Advertising, Analyst, Consulting,Strategy/Planning, Business Development, Management,Advertising, Consulting, Strategy/Planning,Advertising, Marketing,Marketing, Information Technology, Product Management,Business Development,Sales, Marketing,General Business, Marketing,Advertising, Marketing, Sales,Marketing, Public Relations, Writing/Editing,Information Technology, Project Management, Product Management,Marketing, Sales, Customer Service,Marketing, Marketing,Advertising, Marketing, Other,Marketing, Writing/Editing, Strategy/Planning,Business Development, Marketing,Marketing, Public Relations, Education,Marketing, Art/Creative,Business Development, Information Technology, Marketing,Design",,138
5,5,"Engineering, Information Technology,Information Technology,Sales,Sales, Business Development,Design, Art/Creative, Information Technology,Management, Manufacturing,Purchasing, Supply Chain,Research, Analyst, Information Technology,Legal, Information Technology,Customer Service, Information Technology,Human Resources,Sales, Product Management, Customer Service,Finance, Sales,Finance, Accounting/Auditing,Marketing, Writing/Editing,Marketing, Sales,Other,Marketing,Accounting/Auditing, Finance,Finance,General Business, Finance, Other,Consulting, Information Technology, Sales,Analyst, Information Technology, Sales,Analyst, Sales, Product Management,Analyst, Information Technology, Marketing,Marketing, Advertising, Writing/Editing,Consulting, Information Technology, Project Management,Marketing, Advertising, Art/Creative,Supply Chain, Consulting, Sales,Supply Chain, Consulting","Web page creation and editing software,Mailing and shipping software",76
6,6,"Engineering, Information Technology,Information Technology,Art/Creative, Business Development, Engineering,Engineering,Business Development, Engineering, Information Technology,Information Technology, Engineering,Other, Information Technology, Production,Research, Analyst, Information Technology,Other,Business Development, Information Technology, Research,Education,Sales, Business Development,Quality Assurance,Legal, Writing/Editing,Marketing, Public Relations, Writing/Editing,Business Development, Sales,Finance, Sales,Product Management, Marketing,Human Resources,Information Technology, Sales, Consulting,Marketing, Writing/Editing, Public Relations,Finance, Analyst, Accounting/Auditing,Sales, Marketing, Product Management,Project Management, Information Technology,Customer Service, Information Technology,Management, Manufacturing,Education, Training,Consulting,Finance, Accounting/Auditing,Legal,Accounting/Auditing, Finance,Finance,Accounting/Auditing, Advertising, Finance,Accounting/Auditing,Design, Art/Creative, Information Technology,Finance, Sales, Business Development,Finance, Information Technology, Engineering,Purchasing, Supply Chain, Manufacturing,Information Technology, Product Management,Marketing,Marketing, Advertising,General Business,Marketing, Sales,General Business, Marketing, Other,Marketing, Business Development, Strategy/Planning,Business Development,Sales, Information Technology, Consulting,Marketing, Customer Service, Management,Human Resources, Information Technology,Design, Art/Creative",Management of Financial Resources,155
7,7,"Consulting, Engineering,Business Development, Management, Information Technology,Analyst, Consulting, Project Management,Engineering, Information Technology,Other,Management, Manufacturing,Sales, Business Development, Strategy/Planning,Product Management, Marketing,Finance, Information Technology,Finance, Accounting/Auditing, Analyst,Sales, Business Development,Research, Analyst, Information Technology,Finance, Accounting/Auditing, Strategy/Planning,Marketing, Sales,Human Resources,Consulting, Accounting/Auditing,Project Management, Information Technology,Finance,Business Development,Sales, Business Development, General Business,Accounting/Auditing, Finance,Administrative, Consulting,Business Development, Consulting, Sales,Business Development, General Business, Information Technology,Business Development, Sales,Strategy/Planning,Strategy/Planning, Consulting, Information Technology,Project Management, Administrative, General Business,Finance, Accounting/Auditing, Consulting,Project Management, Management, Strategy/Planning,Human Resources, Management, Strategy/Planning,Engineering,Consulting, Project Management, Strategy/Planning,Manufacturing,Information Technology,Consulting, Finance, Other,Customer Service, Information Technology,Management, Supply Chain, Customer Service,Design, Art/Creative, Information Technology,Finance, Advertising,Analyst, Strategy/Planning,Accounting/Auditing,Finance, Accounting/Auditing,Marketing, Advertising, Strategy/Planning,Finance, Accounting/Auditing, Legal,Finance, Sales,Education, Information Technology, Engineering,General Business, Management, Business Development,Finance, Analyst, Accounting/Auditing,Finance, Administrative,Finance, Project Management, Administrative,Legal,Accounting/Auditing, Finance, Health Care Provider,Supply Chain, Finance,General Business, Other,Consulting,Finance, Information Technology, Analyst,Sales,Marketing, Public Relations, Writing/Editing,Administrative,Education, Training,Finance, Accounting/Auditing, Management,Research, Science, Management,Education, Training, Marketing,Marketing,Advertising, Marketing, Product Management,Marketing, Public Relations, Advertising,Information Technology, Marketing,Marketing, Art/Creative, Writing/Editing,Business Development, Information Technology, Marketing,Information Technology, Strategy/Planning, Sales,Marketing, Sales, Public Relations,Marketing, Writing/Editing,Marketing, Art/Creative, Advertising",,176
8,8,"Information Technology,Engineering, Information Technology,Information Technology, Engineering,Sales, Consulting, Engineering,Marketing, Public Relations, Writing/Editing,Marketing, Sales,Project Management, Information Technology,Research, Analyst, Information Technology,Customer Service, Information Technology,Business Development, Sales,Finance, Analyst, Accounting/Auditing,Product Management, Marketing,Sales, Business Development,Engineering",,40
9,9,"Engineering,Engineering, Information Technology,Information Technology,Marketing,Analyst,Information Technology, Engineering,Accounting/Auditing, Analyst, Finance,Sales,Other,Analyst, Research, Information Technology,General Business, Analyst,Marketing, Public Relations, Writing/Editing,Information Technology, Customer Service,Project Management, Analyst, Consulting,Marketing, Advertising, Project Management,Product Management, Marketing,Business Development, Sales,Sales, Business Development,Marketing, Product Management, Strategy/Planning,Advertising, Marketing, Project Management,Project Management, Information Technology,Strategy/Planning, Advertising, Customer Service,Supply Chain, Analyst,Marketing, Sales,Business Development,Finance, Sales,Finance,Research, Analyst, Information Technology,Administrative,Consulting,Marketing, Public Relations,Marketing, Information Technology, Product Management,Marketing, Strategy/Planning, Sales,Marketing, Advertising,Design, Art/Creative, Information Technology,Marketing, Business Development,Advertising, Marketing, Product Management,Human Resources,Distribution, Marketing, Finance,Marketing, Sales, Business Development,Art/Creative, Information Technology, Marketing,Management, Manufacturing,Marketing, Other,Marketing, Advertising, Strategy/Planning,Advertising, General Business, Marketing,General Business, Marketing, Other,Marketing, Art/Creative, Design,Customer Service, Information Technology,Marketing, Public Relations, Advertising,Marketing, Strategy/Planning,Management, Marketing,Marketing, Sales, Art/Creative,Marketing, Information Technology,Project Management,Marketing, Project Management,Marketing, Advertising, Art/Creative,Marketing, Business Development, Consulting,Marketing, Public Relations, Product Management,Marketing, Art/Creative, Strategy/Planning,Public Relations, Marketing,Finance, Design,Supply Chain,Information Technology, Product Management, Engineering",,182
