,title,jobSkill,source
0,"Reading comprehension is the ability to process text, understand its meaning, and to integrate with what the reader already knows. Fundamental skills required in efficient reading comprehension are knowing meaning of words, ability to understand meaning of a word from discourse context, ability to follow organization of passage and to identify antecedents and references in it, ability to draw inferences from a passage about its contents, ability to identify the main thought of a passage, ability to answer questions answered in a passage, ability to recognize the literary devices or propositional structures used in a passage and determine its tone, to understand the situational mood (agents, objects, temporal and spatial reference points, casual and intentional inflections, etc.) conveyed for assertions, questioning, commanding, refraining etc. and finally ability to determine writer's purpose, intent and point of view, and draw inferences about the writer (discourse-semantics).There are many reading strategies to improve reading comprehension and inferences, including improving one's vocabulary, critical text analysis (intertextuality, actual events vs. narration of events, etc.) and practicing deep reading. 
Ability to comprehend text is influenced by readers' skills and their ability to process information. If word recognition is difficult, students use too much of their processing capacity to read individual words, which interferes with their ability to comprehend what is read.",Reading Comprehension,skillDescription
2,"Active listening is the practice of preparing to listen, observing what verbal and non-verbal messages are being sent, and then providing appropriate feedback for the sake of showing attentiveness to the message being presented. This form of listening conveys a mutual understanding between speaker and listener. Speakers receive confirmation their point is coming across effectively, and listeners absorb more content and understanding by being engaged. Active listening was introduced by Carl Rogers and Richard Farson.",Active Listening,skillDescription
4,"Writing is a medium of human communication that involves the representation of a language with written symbols. Writing systems are not themselves human languages (with the debatable exception of computer languages); they are means of rendering a language into a form that can be reconstructed by other humans separated by time and/or space. While not all languages use a writing system, those with systems of inscriptions can complement and extend capacities of spoken language by enabling the creation of durable forms of speech that can be transmitted across space (e.g., correspondence) and stored over time (e.g., libraries or other public records). It has also been observed that the activity of writing itself can have knowledge-transforming effects, since it allows humans to externalize their thinking in forms that are easier to reflect on, elaborate, reconsider, and revise. Writing relies on many of the same semantic structures as the speech it represents, such as lexicon and syntax, with the added dependency of a system of symbols to represent that language's phonology and morphology. The result of the activity of writing is called a text, and the interpreter or activator of this text is called a reader.As human societies emerged, collective motivations for the development of writing were driven by pragmatic exigencies like keeping history, maintaining culture, codifying knowledge through curricula and lists of texts deemed to contain foundational knowledge (e.g., The Canon of Medicine) or to be artistically exceptional (e.g., a literary canon), organizing and governing societies through the formation of legal systems, census records, contracts, deeds of ownership, taxation, trade agreements, treaties, and so on. Amateur historians, including H.G. Wells, had speculated since the early 20th century on the likely correspondence between the emergence of systems of writing and the development of city-states into empires. As Charles Bazerman explains, the ""marking of signs on stones, clay, paper, and now digital memories—each more portable and rapidly traveling than the previous—provided means for increasingly coordinated and extended action as well as memory across larger groups of people over time and space."" For example, around the 4th millennium BC, the complexity of trade and administration in Mesopotamia outgrew human memory, and writing became a more dependable method of recording and presenting transactions in a permanent form. In both ancient Egypt and Mesoamerica, on the other hand, writing may have evolved through calendric and political necessities for recording historical and environmental events. Further innovations included more uniform, predictable, and widely dispersed legal systems, distribution and discussion of accessible versions of sacred texts, and the origins of modern practices of scientific inquiry and knowledge-consolidation, all largely reliant on portable and easily reproducible forms of inscribed language.  
Individual, as opposed to collective, motivations for writing include improvised additional capacity for the limitations of human memory (e.g., to-do lists, recipes, reminders, logbooks, maps, the proper sequence for a complicated task or important ritual), dissemination of ideas (as in an essay, monograph, broadside, petition, or manifesto), imaginative narratives and other forms of storytelling, personal or business correspondence, and lifewriting (e.g., a diary or journal).",Writing,skillDescription
6,"In sociolinguistics, SPEAKING or the SPEAKING model, is a model socio-linguistic study (represented as a mnemonic) developed by Dell Hymes. Hymes developed this model as part of a new methodology referred to as the ethnography of speaking. This model is a tool to assist the identification and labeling of components of interactional linguistics that was driven by his view that, in order to speak a language correctly, one needs not only to learn its vocabulary and grammar, but also the context in which words are used. In essence, the learning the components of the SPEAKING model is essential for linguistic competence.
To facilitate the application of his representation, Hymes constructed the mnemonic, S-P-E-A-K-I-N-G (for setting and scene, participants, ends, acts sequence, key, instrumentalities, norms, & genre) under which he grouped the sixteen components within eight divisions.The model had sixteen components that can be applied to many sorts of discourse: message form; message content; setting; scene; speaker/sender; addressor; hearer/receiver/audience; addressee; purposes (outcomes); purposes (goals); key; channels; forms of speech; norms of interaction; norms of interpretation; and genres.
The SPEAKING model is used by linguistic anthropologists to analyze speech events (one or more speech acts involving one more participants) as part of an ethnography. This approach can be used to understand relationships and power dynamics within a given speech community and provide insight on cultural values.",Speaking,skillDescription
8,"Mathematics (from Greek: μάθημα, máthēma, 'knowledge, study, learning') includes the study of such topics as numbers (arithmetic and number theory), formulas and related structures (algebra), shapes and spaces in which they are contained (geometry), and quantities and their changes (calculus and analysis). There is no general consensus about its exact scope or epistemological status.Most of mathematical activity consists of discovering and proving (by pure reasoning) properties of abstract objects. These objects are either abstractions from nature (such as natural numbers or ""a line""), or (in modern mathematics) abstract entities that are defined by their basic properties, called axioms. A proof consists of a succession of applications of some deductive rules to already known results, including previously proved theorems, axioms and (in case of abstraction from nature) some basic properties that are considered as true starting points of the theory under consideration. The result of a proof is called a theorem. Contrary to physical laws, the validity of a theorem (its truth) does not rely on any experimentation but on the correctness of its reasoning (though experimentation is often useful for discovering new theorems of interest).
Mathematics is widely used in science for modeling phenomena. This enables the extraction of quantitative predictions from experimental laws. For example, the movement of planets can be predicted with high accuracy using Newton's law of gravitation combined with mathematical computation. The independence of mathematical truth from any experimentation implies that the accuracy of such predictions depends only on the adequacy of the model for describing the reality. So when some inaccurate predictions arise, it means that the model must be improved or changed, not that the mathematics is wrong. For example, the perihelion precession of Mercury cannot be explained by Newton's law of gravitation, but is accurately explained by Einstein's general relativity. This experimental validation of Einstein's theory shows that Newton's law of gravitation is only an approximation (which still is very accurate in everyday life). 
Mathematics is essential in many fields, including natural sciences, engineering, medicine, finance, computer science and social sciences.
Some areas of mathematics, such as statistics and game theory, are developed in direct correlation with their applications, and are often grouped under the name of applied mathematics. Other mathematical areas are developed independently from any application (and are therefore called pure mathematics), but practical applications are often discovered later. A fitting example is the problem of integer factorization which goes back to Euclid but had no practical application before its use in the RSA cryptosystem (for the security of computer networks).
Mathematics has been a human activity from as far back as written records exist. However, the concept of a ""proof"" and its associated ""mathematical rigour"" first appeared in Greek mathematics, most notably in Euclid's Elements. Mathematics developed at a relatively slow pace until the Renaissance, when algebra and infinitesimal calculus were added to arithmetic and geometry as main areas of mathematics. Since then the interaction between mathematical innovations and scientific discoveries have led to a rapid increase in the rate of mathematical discoveries. At the end of the 19th century, the foundational crisis of mathematics led to the systematization of the axiomatic method. This, in turn, gave rise to a dramatic increase in the number of mathematics areas and their fields of applications; a witness of this is the Mathematics Subject Classification, which lists more than sixty first-level areas of mathematics.",Mathematics,skillDescription
10,"Science (from Latin  scientia 'knowledge') is a systematic enterprise that builds and organizes knowledge in the form of testable explanations and predictions about the world.The earliest roots of science can be traced to Ancient Egypt and Mesopotamia in around 3000 to 1200 BCE. Their contributions to mathematics, astronomy, and medicine entered and shaped Greek natural philosophy of classical antiquity, whereby formal attempts were made to provide explanations of events in the physical world based on natural causes. After the fall of the Western Roman Empire, knowledge of Greek conceptions of the world deteriorated in Western Europe during the early centuries (400 to 1000 CE) of the Middle Ages, but was preserved in the Muslim world during the Islamic Golden Age. The recovery and assimilation of Greek works and Islamic inquiries into Western Europe from the 10th to 13th century revived ""natural philosophy"", which was later transformed by the Scientific Revolution that began in the 16th century as new ideas and discoveries departed from previous Greek conceptions and traditions. The scientific method soon played a greater role in knowledge creation and it was not until the 19th century that many of the institutional and professional features of science began to take shape; along with the changing of ""natural philosophy"" to ""natural science.""Modern science is typically divided into three major branches that consist of the natural sciences (e.g., biology, chemistry, and physics), which study nature in the broadest sense; the social sciences (e.g., economics, psychology, and sociology), which study individuals and societies; and the formal sciences (e.g., logic, mathematics, and theoretical computer science), which deal with symbols governed by rules. There is disagreement, however, on whether the formal sciences actually constitute a science as they do not rely on empirical evidence. Disciplines that use existing scientific knowledge for practical purposes, such as engineering and medicine, are described as applied sciences.New knowledge in science is advanced by research from scientists who are motivated by curiosity about the world and a desire to solve problems. Contemporary scientific research is highly collaborative and is usually done by teams in academic and research institutions, government agencies, and companies. The practical impact of their work has led to the emergence of science policies that seek to influence the scientific enterprise by prioritizing the development of commercial products, armaments, health care, public infrastructure, and environmental protection.",Science,skillDescription
12,"Critical thinking is the analysis of facts to form a judgment. The subject is complex; several different definitions exist, which generally include the rational, skeptical, and unbiased analysis or evaluation of factual evidence. Critical thinking is self-directed, self-disciplined, self-monitored, and self-corrective thinking. It presupposes assent to rigorous standards of excellence and mindful command of their use. It entails effective communication and problem-solving abilities as well as a commitment to overcome native egocentrism and sociocentrism.",Critical Thinking,skillDescription
14,"Active learning is ""a method of learning in which students are actively or experientially involved in the learning process and where there are different levels of active learning, depending on student involvement."" Bonwell & Eison (1991) states that ""students participate [in active learning] when they are doing something besides passively listening."" In a report from the Association for the Study of Higher Education (ASHE), authors discuss a variety of methodologies for promoting active learning. They cite literature that indicates students must do more than just listen in order to learn. They must read, write, discuss, and be engaged in solving problems. This process relates to the three learning domains referred to as knowledge, skills and attitudes (KSA). This taxonomy of learning behaviors can be thought of as ""the goals of the learning process."" In particular, students must engage in such higher-order thinking tasks as analysis, synthesis, and evaluation.",Active Learning,skillDescription
16,"Language learning strategies is a term referring to the processes and actions that are consciously deployed by language learners to help them to learn or use a language more effectively. They have also been defined as ‘thoughts and actions, consciously chosen and operationalized by language learners, to assist them in carrying out a multiplicity of tasks from the very outset of learning to the most advanced levels of target language performance’. The term language learner strategies, which incorporates strategies used for language learning and language use, is sometimes used, although the line between the two is ill-defined as moments of second language use can also provide opportunities for learning.",Learning Strategies,skillDescription
18,Monitoring may refer to:,Monitoring,skillDescription
