,TFIDF Cluster,jobSkill_x,jobSkill_y,title
0,0,"Engineering, Information Technology,Information Technology",Cloud-based protection or security software,4
1,1,"Customer Service, Information Technology,Business Development, Sales,Management, Manufacturing,Supply Chain, Analyst",,6
2,2,"Engineering, Information Technology,Other,Sales, Business Development,Research, Analyst, Information Technology",,15
3,3,"Engineering, Information Technology, Consulting,Engineering, Information Technology,Information Technology,Information Technology, Engineering,Engineering",,30
4,4,"Customer Service, Information Technology,Product Management,Management, Manufacturing,Sales, Business Development,Finance,Accounting/Auditing,Administrative, Finance",,12
5,5,Information Technology,,28
6,6,"Analyst,Public Relations, Marketing, Information Technology,Marketing, Sales,Business Development, Sales,Writing/Editing, Design, Project Management,Marketing, Public Relations, Writing/Editing,Project Management, Information Technology, Engineering,Marketing,Marketing, Advertising,Distribution, Marketing, Finance,Advertising, Art/Creative, Marketing,Marketing, Other,Consulting, Strategy/Planning, Information Technology,Marketing, Advertising, Strategy/Planning,Marketing, Art/Creative, Design,Marketing, Sales, Customer Service,Marketing, Business Development, Consulting,Marketing, Art/Creative, Writing/Editing,Information Technology, Strategy/Planning, Sales,Finance, Marketing,Marketing, Strategy/Planning,Engineering, Information Technology,Sales, Business Development,Marketing, Art/Creative, Advertising,Marketing, Design, Analyst,Marketing, Public Relations, Education,Business Development, Information Technology, Marketing",,62
7,7,"Finance, Accounting/Auditing, Analyst,Marketing, Product Management, Strategy/Planning,Sales,Supply Chain, Analyst,Customer Service, Information Technology,Marketing,Management, Manufacturing,Marketing, Sales",,10
8,8,"Information Technology, Engineering,Strategy/Planning, Information Technology,Information Technology,Legal, Consulting,Management, Strategy/Planning, Consulting,Finance,Advertising, Art/Creative, Marketing,Design,Design, Information Technology",,18
9,9,"Marketing, Public Relations, Management,Advertising, Marketing,Marketing,Marketing, Sales, Project Management,Marketing, Advertising,Marketing, Sales,Marketing, Art/Creative, Strategy/Planning,Marketing, Public Relations,Marketing, Sales, Product Management",,25
10,10,"Finance, Information Technology,Accounting/Auditing, Finance,Finance, Sales,Finance, Accounting/Auditing, Other,Accounting/Auditing,Human Resources, Finance, Advertising,Finance, Accounting/Auditing,Engineering, Project Management,Health Care Provider, Accounting/Auditing, Finance,Finance,Strategy/Planning, Accounting/Auditing, Finance,Finance, Analyst, Strategy/Planning,Administrative, Accounting/Auditing, Finance,Accounting/Auditing, Finance, Other,Accounting/Auditing, Finance, Health Care Provider,Finance, Accounting/Auditing, Strategy/Planning,Manufacturing, Finance, Strategy/Planning",,39
